name,growth_rate,exposure,soil,hardiness,water,height,spread,colourInSummer,colourInFall,colourPetals,slideShow
Bowles' golden sedge,Moderate,"Full sun, Part sun/part shade",Bog,Zone 5: (-29 to -23 C),"Moderate, Wetlands",0.7,0.6,"Green, Yellow, Green margins, yellow leaf center",Brown,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519DC310>
blue creeping sedge,Slow,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Low,0.7,0.6,,Bluish,"Showy, Red, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F229A0>
"frosted sedge, creeping Japanese sedge",Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Humus rich,Zone 5: (-29 to -23 C),Moderate,0.4,0.6,"Green, Nearly White","Green, Nearly White","Not showy, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D31D60>
Evergold Japanese sedge,Moderate,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),"Moderate, Wetlands",0.4,0.6,"Green, Yellow","Green, Yellow","Not showy, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DABDF0>
"copper hair sedge, New Zealand orange sedge",,Part sun/part shade,Humus rich,Zone 6: (-23 to -18 C),,1.3,0.6,,,"Brown, (pale to dark brown)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D40670>
European hornbeam,Slow,Full sun,Well-drained,Zone 5: (-29 to -23 C),Moderate,30,25,,Yellow,Green-yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50389070>
Japanese hornbeam,Slow,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),,10,10,,"Yellow, Orange","Not showy, Green, (female - green; male - yellow)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507E7160>
caraway,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate,0.7,0.3,,Yellow,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50798790>
bluebeard,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 7: (-18 to -12 C),"Summer dry, Winter dry",2.0,1.5,,Silver / Grayish,"Showy, Blue",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519BFA90>
Sunshine Blue bluebeard,Moderate,"Full sun, Part sun/part shade",,Zone 7: (-18 to -12 C),,1.3,1.5,,Yellow,"Violet, Blue",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DBCDC0>
fishtail palm,,"Full sun, Part sun/part shade",Well-drained,Zone 9: (-7 to -1 C),Moderate,10,5,,,White,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C6A1F0>
sweet chestnut,Moderate,Full sun,Well-drained,Zone 5: (-29 to -23 C),,30,25,,,"Not showy, Green, Green-yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D9D820>
lucky bean,,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Moderate,22,7,,,"Orange, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF5069DA30>
"Indian paintbrush, harsh paintbrush",Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),,0.4,0.3,,,"Showy, Orange, Red, (rarely yellow)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F9F3A0>
western catalpa,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate,22,15,,Yellow,"White, Violet, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DB1FA0>
Glory of Versaille lilac,Fast,"Full sun, Part sun/part shade",,Zone 6: (-23 to -18 C),,1.3,1.5,,,"Showy, Blue",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5004C910>
Point Reyes creeper,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 7: (-18 to -12 C),"Low, Summer dry, Winter dry",0.4,2.0,,Dark-green,"Showy, Violet, Blue, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF502D2310>
"Victoria lilac, summer lilac, California lilac",Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 8a: (-12 to -9.5 C),"Low, Summer dry",5,5,,Dark-green,"Showy, Blue",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51A2C430>
blue Atlas cedar,Fast,Full sun,"Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate,30,10,"Bluish, Green","Bluish, Green","No flowers, Brown, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50027CA0>
Deodar cedar,Fast,Full sun,Well-drained,Zone 5: (-29 to -23 C),Moderate,30,25,"Bluish, Green","Bluish, Green","No flowers, Green-yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B8C3D0>
cedar of Lebanon,Slow,Full sun,Rocky or gravelly or dry,Zone 7: (-18 to -12 C),,5,3,,,"No flowers, Green, Brown, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DB17F0>
American bittersweet,Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),,7,4,,Yellow,Green-yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50742CD0>
"cockscomb, plumed celosia",Fast,"Full sun, Part sun/part shade",,Zone 9: (-7 to -1 C),,0.7,0.6,"Green, Bronze",,"Showy, Yellow, Orange, Pink, Red, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51ED7040>
Persian cornflower,Moderate,Full sun,Well-drained,Zone 3: (-40 to -34 C),"Low, Moderate",1.3,1.0,,,Pink,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF519BF2B0>
bachelor's buttons,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate,0.7,1.0,,Green,"Blue, Purple, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51988730>
spotted knapweed,,,,Zone 5: (-29 to -23 C),,1.3,0.6,,,"Pink, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50390DC0>
"red valerian , Jupiter's beard",Fast,,,Zone 5: (-29 to -23 C),,0.7,0.6,,,White,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50020A60>
button bush,Moderate,Full sun,,Zone 4: (-34 to -29 C),,3,3,,,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5190AFD0>
old-man cactus,Slow,Full sun,Well-drained,Zone 9: (-7 to -1 C),Low,15,2.0,,,"White, Yellow, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A1E970>
"columnar false yew, Japanese plum-yew",Slow,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate,3,1.5,,Green,"No flowers, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5005F370>
mouse-eared chickweed,Moderate,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),"Low, Moderate",0.1,0.6,,Green,"Not showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507A9070>
snow-in-summer,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),,0.1,1.0,,Silver / Grayish,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E3F8E0>
"katsura, Japanese katsura tree",Moderate,Full sun,"Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate,22,10,"Bluish, Green","Yellow, Orange","Not showy, White, Red, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5196DA30>
redbud,Moderate,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),Moderate,10,10,,Yellow,Pink,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CEFA00>
"string of hearts, rosary vine",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 11: (above 4 C),Low,0.1,3,"Green, Purple",,"Pink, (Brown stamens)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B57C10>
dwarf quince,Moderate,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),,2.0,2.0,,,"Showy, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D26FA0>
flowering quince,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate,3,4,"Green, Dark-green, leaves emerge red-bronze; drop off while still greenish in fall","Green, Green-yellow","Showy, Red, (Scalet to crimson.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C84DC0>
Lawson cypress,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),"Moderate, Summer dry",22,4,"Bluish, Green, Chamaecyparis lawsoniana 'Ivonne' is a yellow foliage cultivar","Bluish, Green","No flowers, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50629E80>
Hinoki false cypress,Slow,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),,5,3,"Dark-green, Green, Green-yellow, depends on cultivar",,"No flowers, Brown, Red, Orange",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51EB29D0>
gold threadleaf false cypress,Slow,Full sun,"Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate,7,3,"Green-yellow, Yellow","Green-yellow, Yellow","No flowers, Green-yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51BCAC70>
"threadleaf false cypress, sawara cypress",Moderate,Full sun,"Humus rich, Well-drained",Zone 4: (-34 to -29 C),,22,25,,Dark-green,"No flowers, Brown, Black",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51EBD670>
Boulevard false cypress,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate,5,7,"Bluish, Green","Bluish, Green","No flowers, Brown, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F559A0>
"parlour palm, neanthe bella palm",Slow,Part sun/part shade,,Zone 10: (-1 to 4 C),Moderate,3,1.5,"Green, Dark-green","Green, Dark-green","White, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D45F70>
Roman chamomile,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 6: (-23 to -18 C),Low,0.4,0.6,,,"Showy, White, Yellow, (flowerheads used in herbal tea)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B5E730>
wax flower,Moderate,Full sun,"Acidic, Well-drained",Zone 9: (-7 to -1 C),,2.0,2.0,,Dark-green,"Showy, White, Pink, Purple, Red, Magenta",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51AC88B0>
fireweed,Fast,Full sun,Well-drained,Zone 3: (-40 to -34 C),Low,2.0,1.5,"Green, Pink",,"Showy, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506FE130>
northern sea oats,Fast,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 8a: (-12 to -9.5 C),Wetlands,1.3,0.6,,"Green, Brown","Showy, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503FAEB0>
"lamb's quarters , pigweed",Fast,Full sun,,Zone 8b: (-9.4 to -7 C),,3,1.0,,Yellow,"Not showy, White, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF500489D0>
"spider plant, airplane plant",Fast,Part sun/part shade,Well-drained,Zone 9: (-7 to -1 C),High,0.4,0.6,,,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50026130>
Mexican mock orange,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 9: (-7 to -1 C),Moderate,3,3,,Dark-green,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DF07F0>
Mexican mock orange,Slow,Part sun/part shade,"Acidic, Well-drained",Zone 7: (-18 to -12 C),Moderate,3,2.0,"Green-yellow, Yellow",Green,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C32BB0>
"garden mum, florist's mum",Fast,Full sun,"Acidic, Well-drained",Zone 4: (-34 to -29 C),High,1.3,0.6,,Green,"Showy, Magenta, Violet, Red, White, Yellow, Purple, Orange, Bronze",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F627C0>
Canada thistle,Fast,Full sun,Rocky or gravelly or dry,Zone 4: (-34 to -29 C),Moderate,1.3,1.5,,,"Violet, Pink, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F77520>
bull thistle,Fast,"Full sun, Part sun/part shade",,Zone 2: (-46 to -40 C),,1.3,0.6,,,"Purple, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DCC820>
grape ivy,Fast,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade",,Zone 10: (-1 to 4 C),Moderate,5,3,,,"Not showy, Red, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DE0820>
kangaroo vine,Fast,Part sun/part shade,,Zone 11: (above 4 C),Moderate,7,1.5,,,"Not showy, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503F9790>
"tapestry vine, Rex begonia vine",Fast,"Filtered shade, Part sun/part shade",,Zone 11: (above 4 C),Moderate,3,,"Green, Dark-red, Silver / Grayish, Silver bands between veins; maroon undersides.",,"Not showy, Red, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502CEA00>
Sunset rock rose,Moderate,Full sun,,Zone 8a: (-12 to -9.5 C),,1.3,2.0,,Green,Magenta,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503FA880>
rock rose,Fast,Full sun,Well-drained,Zone 6: (-23 to -18 C),,0.4,1.5,,Green,"Showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F14F40>
rock rose,,,,Zone 8a: (-12 to -9.5 C),,1.3,1.5,,Dark-green,"White, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5193C730>
watermelon,Fast,Full sun,Well-drained,Zone 7: (-18 to -12 C),Moderate,0.4,3,,Yellow,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5000D6D0>
Persian lime,Moderate,"Full sun, Part sun/part shade",,Zone 10: (-1 to 4 C),Moderate,3,2.0,,,White,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5066E2B0>
grapefruit,Moderate,Full sun,"Acidic, Humus rich",Zone 9: (-7 to -1 C),Moderate,3,3,,Green,White,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D8EF40>
lemon,Moderate,"Full sun, Part sun/part shade",,Zone 9: (-7 to -1 C),Moderate,3,2.0,,,White,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50081430>
clematis,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Low,3,3,,Yellow,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D3E580>
Nelly Moser clematis,Fast,Full sun,,Zone 4: (-34 to -29 C),,3,1.5,,,"Showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519657C0>
alpine clematis,Fast,"Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),Moderate,3,1.5,,Yellow,"Showy, Violet, (Clematis alpina 'Pamala Jackman' has lilac flowers)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51942970>
evergreen clematis,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),Moderate,5,3,"Green, Bronze",Green,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50796CA0>
pink anemone clematis,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate,10,3,,Red,"Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51FE5DC0>
Tangutica clematis,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Low,3,3,,Yellow,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F9BCA0>
traveller's joy,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),"High, Moderate",22,15,,,"White, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5198ADF0>
spider flower,Fast,Full sun,Well-drained,Zone 8a: (-12 to -9.5 C),High,1.3,0.6,,,"Showy, White, Pink, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50615130>
"summersweet , sweet pepperbush",Moderate,"Filtered shade, Part sun/part shade","Acidic, Humus rich",Zone 3: (-40 to -34 C),Wetlands,3,3,,Yellow,"Showy, White, Pink, (C. 'Ruby Spice' has pinkish flowers.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A461C0>
"Japanese sweet shrub, Chinese summersweet",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate,3,3,,"Red, Bronze",White,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50771220>
"bush lily, kaffir lily",Slow,"Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 9: (-7 to -1 C),,0.4,0.6,,Dark-green,"Showy, Orange, Yellow, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503898E0>
croton,Slow,,Well-drained,Zone 10: (-1 to 4 C),Moderate,1.3,1.5,"Green, Red, Yellow, Several cvs. with different leaf variegation.",,"Not showy, White, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51EF7580>
coffee plant,,Part sun/part shade,Well-drained,Zone 10: (-1 to 4 C),Moderate,5,3,,,White,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50308430>
"taro root, coloyam, elephant's ear",,"Filtered shade, Part sun/part shade","Acidic, Bog, Humus rich",Zone 8a: (-12 to -9.5 C),,1.3,1.0,,,"Showy, White, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B41B50>
larkspur,Fast,"Full sun, Sheltered","Humus rich, Well-drained",Zone 3: (-40 to -34 C),Moderate,0.7,0.6,,,"White, Violet, Blue, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503FAA60>
lily-of-the-valley,Moderate,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 2: (-46 to -40 C),Moderate,0.2,0.3,,Yellow,"White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5074D820>
dracaena spike,,"Full sun, Part sun/part shade",,Zone 9: (-7 to -1 C),Moderate,5,,,Green,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5025B970>
coreopsis,Fast,Full sun,Well-drained,Zone 7: (-18 to -12 C),Moderate,0.7,1.0,,Green,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502A3520>
Zamfir coreopsis,Fast,Full sun,,Zone 4: (-34 to -29 C),,1.3,0.6,,Yellow,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A108B0>
large flowered coreopsis,Fast,Full sun,Well-drained,Zone 7: (-18 to -12 C),Moderate,0.7,1.0,,Green,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50614040>
lanceleaf coreopsis,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low,0.4,0.6,,Green-yellow,"Showy, Yellow, (Not all cultivars have ray florets that are part red-brown.near center of inflorescence.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50066F40>
"pink coreopsis, pink tickseed",Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low,0.4,0.6,,Green,"Showy, Pink, Red, (Coreopsis rosea 'Limerock Ruby' is red flowered.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D08F40>
"threadleaf coreopsis, whorled tickseed",Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Summer dry,0.7,0.6,,Green-yellow,"Showy, Yellow, (pale yellow)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51983490>
"cilantro , coriander , Chinese parsley",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 9: (-7 to -1 C),Moderate,0.7,0.6,,,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503F2550>
Eddie's White Wonder dogwood,Moderate,"Filtered shade, Full sun, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 6: (-23 to -18 C),Low,15,10,,"Purple, Red","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5004C3D0>
Constellation dogwood,Fast,"Full sun only if soil kept moist, Part sun/part shade",,Zone 5: (-29 to -23 C),Moderate,7,5,,"Purple, Dark-red","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51915190>
"silverleaf dogwood, Siberian dogwood",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate,3,3,,Red,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D258B0>
"Siberian dogwood, white dogwood",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate,3,3,,Red,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502DAFD0>
bunchberry,Slow,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 2: (-46 to -40 C),Low,0.2,0.6,,"Green, Red","Not showy, White, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF5066B820>
giant dogwood,Fast,"Full sun, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 5: (-29 to -23 C),,15,15,,"Purple, Red","Showy, Yellow, White, (cream)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F68B80>
"eastern flowering dogwood, pink flowering dogwood",Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate,7,7,,"Orange, Red, Purple","Showy, White, Green-yellow, Red, (bracts white or red for f. rubra)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CEA9A0>
"Chinese dogwood, kousa dogwood",Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate,10,10,,"Orange, Red","Showy, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507DD0A0>
"Chinese dogwood, kousa dogwood",Slow,"Full sun only if soil kept moist, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate,10,10,,"Orange, Red, Dark-red","Showy, Pink, White, (certain cvs have pink bracts (e.g. C. Satomi))",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B7EA00>
"Cornelian dogwood , Cornelian cherry",Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate,5,4,,"Yellow, Red","Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DB4BE0>
Pacific dogwood,Moderate,"Deep shade, Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),,22,10,,"Yellow, Dark-red","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506B53D0>
grey dogwood,Fast,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),Moderate,3,3,,"Purple, Red, Dark-red","Not showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506FA3A0>
red osier dogwood,Fast,"Full sun, Part sun/part shade","Acidic, Bog, Well-drained",Zone 2: (-46 to -40 C),Low,3,3,,"Orange, Red",White,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D63CD0>
variegated dogwood,Fast,Full sun,,Zone 2: (-46 to -40 C),,2.0,4,"Green, Yellow",Yellow,White,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506B5970>
yellow twig dogwood,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 2: (-46 to -40 C),Moderate,3,5,,"Orange, Red, Dark-red","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51956040>
pampas grass,,Full sun,,Zone 8a: (-12 to -9.5 C),,5,3,,Brown,"Showy, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C774F0>
buttercup winter hazel,Slow,Part sun/part shade,"Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate,2.0,3,,Yellow,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51D655E0>
"spike witchhazel, spike winter hazel",,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),,3,3,,Yellow,"Yellow, (purple anthers)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506CB130>
