name,growth_rate,exposure,soil,hardiness,water
"morning glory, hedge bindweed ",Fast,"Filtered shade, Full sun",,Zone 6: (-23 to -18 C),NA
"camas, wild hyacinth ",,Part sun/part shade,Well-drained,Zone 3: (-40 to -34 C),Moderate
White Mermaid camellia,Moderate,"Filtered shade, Part sun/part shade",,Zone 7: (-18 to -12 C),NA
"common camellia, Japanese camellia",Moderate,Part sun/part shade,"Acidic, Well-drained",Zone 7: (-18 to -12 C),High
sasanqua camellia,Slow,"Full sun, Part sun/part shade, Sheltered","Acidic, Well-drained",Zone 7: (-18 to -12 C),"Low, Moderate"
"Carpathian harebell, canterbury bells ",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate
clustered bellflower ,Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
Canterbury bells ,Moderate,"Full sun only if soil kept moist, Part sun/part shade","Alkaline, Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate
"peach leaf bellflower, peach-leaved bellflower",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate
"Serbian campanula, Serbian bellflower ",,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),NA
"spotted bellflower, Korean bellflower ",Moderate,"Full sun only if soil kept moist, Part sun/part shade","Alkaline, Humus rich, Well-drained",Zone 4: (-34 to -29 C),Moderate
nettle-leaved bellflower ,,"Full sun only if soil kept moist, Part sun/part shade",,Zone 5: (-29 to -23 C),Moderate
Madam Galam trumpet vine ,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate
"trumpet vine , common trumpet creeper ",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Low
"canna, garden cannas ",Fast,Full sun,Well-drained,Zone 8a: (-12 to -9.5 C),Moderate
marijuana ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),High
shepherd's purse ,Fast,"Deep shade, Filtered shade, Full sun, Part sun/part shade",,Zone 7: (-18 to -12 C),NA
"spicy hot pepper, chili pepper ",Fast,Full sun,,Zone 9: (-7 to -1 C),NA
ornamental pepper ,Moderate,Full sun,,Zone 9: (-7 to -1 C),Moderate
sweet bell pepper ,Fast,Full sun,,Zone 9: (-7 to -1 C),Moderate
Siberian peashrub ,Moderate,Full sun,"Alkaline, Rocky or gravelly or dry, Well-drained",Zone 2: (-46 to -40 C),"Low, Moderate"
"snapweed , little western bittercress ",Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),High
sedge (unidentified species),Fast,Full sun,,Zone 3: (-40 to -34 C),NA
dwarf bronze creeping sedge ,Slow,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Wetlands
leatherleaf sedge ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Wetlands
Frosted Curls sedge ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Low
New England hair sedge ,Slow,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate
variegated Japanese sedge ,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
Bowles' golden sedge ,Moderate,"Full sun, Part sun/part shade",Bog,Zone 5: (-29 to -23 C),"Moderate, Wetlands"
blue creeping sedge ,Slow,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Low
"frosted sedge, creeping Japanese sedge ",Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Humus rich,Zone 5: (-29 to -23 C),Moderate
Evergold Japanese sedge ,Moderate,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),"Moderate, Wetlands"
"copper hair sedge, New Zealand orange sedge ",,Part sun/part shade,Humus rich,Zone 6: (-23 to -18 C),NA
European hornbeam ,Slow,Full sun,Well-drained,Zone 5: (-29 to -23 C),Moderate
Japanese hornbeam ,Slow,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),NA
caraway ,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate
bluebeard ,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 7: (-18 to -12 C),"Summer dry, Winter dry"
Sunshine Blue bluebeard ,Moderate,"Full sun, Part sun/part shade",,Zone 7: (-18 to -12 C),NA
fishtail palm ,,"Full sun, Part sun/part shade",Well-drained,Zone 9: (-7 to -1 C),Moderate
sweet chestnut ,Moderate,Full sun,Well-drained,Zone 5: (-29 to -23 C),NA
lucky bean ,,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Moderate
"Indian paintbrush, harsh paintbrush",Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),NA
western catalpa,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
Glory of Versaille lilac,Fast,"Full sun, Part sun/part shade",,Zone 6: (-23 to -18 C),NA
Point Reyes creeper ,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 7: (-18 to -12 C),"Low, Summer dry, Winter dry"
"Victoria lilac, summer lilac, California lilac ",Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 8a: (-12 to -9.5 C),"Low, Summer dry"
blue Atlas cedar ,Fast,Full sun,"Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
Deodar cedar ,Fast,Full sun,Well-drained,Zone 5: (-29 to -23 C),Moderate
cedar of Lebanon ,Slow,Full sun,Rocky or gravelly or dry,Zone 7: (-18 to -12 C),NA
American bittersweet ,Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
"cockscomb, plumed celosia",Fast,"Full sun, Part sun/part shade",,Zone 9: (-7 to -1 C),NA
Persian cornflower ,Moderate,Full sun,Well-drained,Zone 3: (-40 to -34 C),"Low, Moderate"
bachelor's buttons ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate
spotted knapweed ,,,,Zone 5: (-29 to -23 C),NA
"red valerian , Jupiter's beard ",Fast,,,Zone 5: (-29 to -23 C),NA
button bush ,Moderate,Full sun,,Zone 4: (-34 to -29 C),NA
old-man cactus,Slow,Full sun,Well-drained,Zone 9: (-7 to -1 C),Low
"columnar false yew, Japanese plum-yew",Slow,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
mouse-eared chickweed ,Moderate,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),"Low, Moderate"
snow-in-summer,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),NA
"katsura, Japanese katsura tree",Moderate,Full sun,"Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate
redbud ,Moderate,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),Moderate
"string of hearts, rosary vine ",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 11: (above 4 C),Low
dwarf quince ,Moderate,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
flowering quince ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
Lawson cypress ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),"Moderate, Summer dry"
Hinoki false cypress ,Slow,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
gold threadleaf false cypress ,Slow,Full sun,"Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
"threadleaf false cypress, sawara cypress ",Moderate,Full sun,"Humus rich, Well-drained",Zone 4: (-34 to -29 C),NA
Boulevard false cypress ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate
"parlour palm, neanthe bella palm ",Slow,Part sun/part shade,,Zone 10: (-1 to 4 C),Moderate
Roman chamomile ,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 6: (-23 to -18 C),Low
wax flower,Moderate,Full sun,"Acidic, Well-drained",Zone 9: (-7 to -1 C),NA
fireweed ,Fast,Full sun,Well-drained,Zone 3: (-40 to -34 C),Low
northern sea oats ,Fast,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 8a: (-12 to -9.5 C),Wetlands
"lamb's quarters , pigweed ",Fast,Full sun,,Zone 8b: (-9.4 to -7 C),NA
"spider plant, airplane plant",Fast,Part sun/part shade,Well-drained,Zone 9: (-7 to -1 C),High
Mexican mock orange ,Slow,Part sun/part shade,"Acidic, Well-drained",Zone 7: (-18 to -12 C),Moderate
"garden mum, florist's mum ",Fast,Full sun,"Acidic, Well-drained",Zone 4: (-34 to -29 C),High
Canada thistle ,Fast,Full sun,Rocky or gravelly or dry,Zone 4: (-34 to -29 C),Moderate
bull thistle ,Fast,"Full sun, Part sun/part shade",,Zone 2: (-46 to -40 C),NA
grape ivy ,Fast,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade",,Zone 10: (-1 to 4 C),Moderate
kangaroo vine ,Fast,Part sun/part shade,,Zone 11: (above 4 C),Moderate
"tapestry vine, Rex begonia vine ",Fast,"Filtered shade, Part sun/part shade",,Zone 11: (above 4 C),Moderate
Sunset rock rose ,Moderate,Full sun,,Zone 8a: (-12 to -9.5 C),NA
rock rose ,,Full sun,Well-drained,Zone 5: (-29 to -23 C),NA
watermelon ,Fast,Full sun,Well-drained,Zone 7: (-18 to -12 C),Moderate
Persian lime ,Moderate,"Full sun, Part sun/part shade",,Zone 10: (-1 to 4 C),Moderate
grapefruit ,Moderate,Full sun,"Acidic, Humus rich",Zone 9: (-7 to -1 C),Moderate
lemon,Moderate,"Full sun, Part sun/part shade",,Zone 9: (-7 to -1 C),Moderate
clematis ,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Low
Nelly Moser clematis ,Fast,Full sun,,Zone 4: (-34 to -29 C),NA
alpine clematis,Fast,"Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),Moderate
evergreen clematis,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),Moderate
pink anemone clematis,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate
Tangutica clematis,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Low
traveller's joy ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),"High, Moderate"
spider flower,Fast,Full sun,Well-drained,Zone 8a: (-12 to -9.5 C),High
"summersweet , sweet pepperbush ",Moderate,"Filtered shade, Part sun/part shade","Acidic, Humus rich",Zone 3: (-40 to -34 C),Wetlands
"Japanese sweet shrub, Chinese summersweet ",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate
"bush lily, kaffir lily ",Slow,"Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 9: (-7 to -1 C),NA
croton ,Slow,,Well-drained,Zone 10: (-1 to 4 C),Moderate
coffee plant,,Part sun/part shade,Well-drained,Zone 10: (-1 to 4 C),Moderate
"taro root, coloyam, elephant's ear ",,"Filtered shade, Part sun/part shade","Acidic, Bog, Humus rich",Zone 8a: (-12 to -9.5 C),NA
larkspur ,Fast,"Full sun, Sheltered","Humus rich, Well-drained",Zone 3: (-40 to -34 C),Moderate
lily-of-the-valley ,Moderate,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 2: (-46 to -40 C),Moderate
dracaena spike ,,"Full sun, Part sun/part shade",,Zone 9: (-7 to -1 C),Moderate
coreopsis ,Fast,Full sun,Well-drained,Zone 7: (-18 to -12 C),Moderate
Zamfir coreopsis,Fast,Full sun,,Zone 4: (-34 to -29 C),NA
large flowered coreopsis,Fast,Full sun,Well-drained,Zone 7: (-18 to -12 C),Moderate
lanceleaf coreopsis,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low
"pink coreopsis, pink tickseed ",Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low
"threadleaf coreopsis, whorled tickseed ",Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Summer dry
"cilantro , coriander , Chinese parsley ",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 9: (-7 to -1 C),Moderate
Eddie's White Wonder dogwood ,Moderate,"Filtered shade, Full sun, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 6: (-23 to -18 C),Low
Constellation dogwood ,Fast,"Full sun only if soil kept moist, Part sun/part shade",,Zone 5: (-29 to -23 C),Moderate
"silverleaf dogwood, Siberian dogwood ",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate
"Siberian dogwood, white dogwood ",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate
bunchberry ,Slow,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 2: (-46 to -40 C),Low
giant dogwood ,Fast,"Full sun, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 5: (-29 to -23 C),NA
"eastern flowering dogwood, pink flowering dogwood ",Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate
"Chinese dogwood, kousa dogwood ",Slow,"Full sun only if soil kept moist, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate
"Cornelian dogwood , Cornelian cherry ",Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
Pacific dogwood ,Moderate,"Deep shade, Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),NA
grey dogwood ,Fast,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),Moderate
red osier dogwood ,Fast,"Full sun, Part sun/part shade","Acidic, Bog, Well-drained",Zone 2: (-46 to -40 C),Low
variegated dogwood ,Fast,Full sun,,Zone 2: (-46 to -40 C),NA
yellow twig dogwood ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 2: (-46 to -40 C),Moderate
pampas grass ,,Full sun,,Zone 8a: (-12 to -9.5 C),NA
buttercup winter hazel ,Slow,Part sun/part shade,"Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
"spike witchhazel, spike winter hazel ",,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
"European filbert, common hazel ",,Full sun,,Zone 3: (-40 to -34 C),NA
"contorted European Filbert, Harry Lauder's walking stick, corkscrew hazel ",Slow,"Full sun, Part sun/part shade","Alkaline, Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),NA
"Turkish filbert, Turkish hazel ",Fast,"Full sun, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 4: (-34 to -29 C),"Moderate, Summer dry"
"beaked hazelnut, western beaked hazel ",Moderate,"Filtered shade, Full sun only if soil kept moist",,Zone 4: (-34 to -29 C),NA
"purple filbert, hazel ",Fast,Full sun,,Zone 5: (-29 to -23 C),NA
"cosmos, Mexican aster ",,Full sun,,Zone 9: (-7 to -1 C),NA
smoke bush ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Low
Peking cotoneaster,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate
cranberry cotoneaster,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate
bearberry cotoneaster,Moderate,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),Moderate
Franchet cotoneaster,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate
rockspray cotoneaster,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate
Parney cotoneaster,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),Moderate
"small-leaf cotoneaster, thyme-leaf cotoneaster",Slow,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
willowleaf cotoneaster,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate
jade plant,Slow,,Well-drained,Zone 9: (-7 to -1 C),Low
Lavalle hawthorn ,Moderate,Full sun,,Zone 5: (-29 to -23 C),Low
Morden hawthorn ,Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
black hawthorn  ,Slow,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),Low
English hawthorn ,,"Full sun, Part sun/part shade",Rocky or gravelly or dry,Zone 5: (-29 to -23 C),NA
common hawthorn ,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
Washington hawthorn ,Slow,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low
Lucifer montbretia ,Fast,"Filtered shade, Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate
montbretia ,Fast,"Filtered shade, Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),Low
"Dutch crocus, crocus",,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate
"snow crocus, golden crocus",,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low
"fall flowering crocus, Bieberstein's crocus",,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),NA
firecracker flower,,Part sun/part shade,,Zone 10: (-1 to 4 C),Moderate
earth star ,Moderate,,"Acidic, Well-drained",Zone 11: (above 4 C),Low
"cockscomb Japanese cedar, crested Japanese cedar",Slow,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate
plume Japanese cedar ,Moderate,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),NA
Japanese cedar ,Slow,"Full sun, Part sun/part shade, Sheltered","Acidic, Humus rich, Well-drained",Zone 6: (-23 to -18 C),Moderate
globe Japanese cedar ,Slow,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),NA
never never plant,,,,Zone 10: (-1 to 4 C),Moderate
"cantaloupe , honeydew , muskmelon  ",Fast,Full sun,,Zone 8a: (-12 to -9.5 C),Moderate
"long English cucumber, European cucumber ",,Full sun,Well-drained,Zone 4: (-34 to -29 C),High
"pumpkin , winter squash ",Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 9: (-7 to -1 C),NA
"summer squash , zucchini ",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),NA
China fir ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 7: (-18 to -12 C),NA
firecracker ,Fast,Full sun,Well-drained,Zone 11: (above 4 C),NA
Mexican heather ,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 10: (-1 to 4 C),Low
Leyland cypress ,Fast,"Full sun, Part sun/part shade","Acidic, Alkaline, Well-drained",Zone 6: (-23 to -18 C),Moderate
Arizona cypress ,Moderate,"Full sun, Part sun/part shade","Acidic, Alkaline, Well-drained",Zone 7: (-18 to -12 C),Moderate
weeping Nootka false cypress ,Moderate,Full sun,"Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate
"Nootka cypress , yellow cedar ",Moderate,Full sun,"Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate
Japanese sago palm ,Slow,"Filtered shade, Full sun",Well-drained,Zone 9: (-7 to -1 C),Low
hardy cyclamen,,,,Zone 5: (-29 to -23 C),NA
cyclamen,Slow,Part sun/part shade,Well-drained,Zone 7: (-18 to -12 C),Moderate
"hardy cyclamen, spring sowbread",,,,Zone 7: (-18 to -12 C),NA
quince ,Moderate,Full sun,Well-drained,Zone 6: (-23 to -18 C),NA
boat orchid ,Moderate,"Filtered shade, Part sun/part shade",,Zone 11: (above 4 C),NA
"cardoon , globe artichoke ",Fast,Full sun,,Zone 7: (-18 to -12 C),NA
"papyrus, umbrella plant",Fast,Full sun,,Zone 10: (-1 to 4 C),High
Japanese holly fern ,Slow,"Filtered shade, Part sun/part shade","Alkaline, Humus rich, Well-drained",Zone 6: (-23 to -18 C),NA
Warminster broom,,Full sun,,Zone 6: (-23 to -18 C),NA
Scotch broom ,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),"Low, Summer dry"
orchard grass ,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
dahlia ,Fast,Full sun,Well-drained,Zone 8b: (-9.4 to -7 C),Moderate
"rose daphne, garland flower, rock daphne",Slow,"Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),NA
spurge laurel ,,"Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 7: (-18 to -12 C),NA
variegated winter daphne,,Part sun/part shade,"Humus rich, Well-drained",Zone 7: (-18 to -12 C),NA
umbrella plant,Moderate,Part sun/part shade,Well-drained,Zone 10: (-1 to 4 C),Moderate
"pricklyburr, thorn apple",,Full sun,,Zone 9: (-7 to -1 C),NA
carrot ,Moderate,Full sun,,Zone 3: (-40 to -34 C),NA
rabbit's foot fern ,,"Deep shade, Filtered shade",,Zone 10: (-1 to 4 C),Moderate
"dove tree, kleenex tree, handkerchief tree ",Moderate,"Filtered shade, Full sun only if soil kept moist","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
hardy ice plant,Slow,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),NA
delphinium,Fast,"Full sun, Sheltered",Well-drained,Zone 4: (-34 to -29 C),Moderate
"delphinium, perennial larkspur ",Fast,"Full sun, Sheltered",Well-drained,Zone 4: (-34 to -29 C),Moderate
tufted hair grass ,Fast,"Full sun, Part sun/part shade","Acidic, Alkaline, Bog, Rocky or gravelly or dry",Zone 4: (-34 to -29 C),"Moderate, Wetlands"
slender deutzia,Moderate,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
"Pride of Rochester deutzia, fuzzy deutzia",Moderate,"Full sun, Part sun/part shade",,Zone 6: (-23 to -18 C),NA
sweet William ,Fast,"Full sun, Part sun/part shade","Alkaline, Well-drained",Zone 4: (-34 to -29 C),NA
carnation ,Moderate,Full sun,"Alkaline, Rocky or gravelly or dry, Well-drained",Zone 8a: (-12 to -9.5 C),Low
"dianthus, China pink ",Moderate,Full sun,"Acidic, Alkaline, Well-drained",Zone 3: (-40 to -34 C),Moderate
maiden pink ,Moderate,Full sun only if soil kept moist,,Zone 3: (-40 to -34 C),NA
cheddar pink ,Moderate,Full sun,Well-drained,Zone 3: (-40 to -34 C),Low
cottage pink ,,,,Zone 4: (-34 to -29 C),NA
"diascia, twinspur ",Fast,"Full sun, Part sun/part shade",,Zone 8a: (-12 to -9.5 C),NA
bleeding heart ,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade, Sheltered","Alkaline, Humus rich",Zone 3: (-40 to -34 C),Moderate
fringed bleeding heart ,Moderate,"Filtered shade, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),NA
Pacific bleeding heart ,Moderate,"Filtered shade, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
dumb cane ,Moderate,,"Humus rich, Well-drained",Zone 10: (-1 to 4 C),Low
dwarf bush honeysuckle ,Moderate,Part sun/part shade,Well-drained,Zone 4: (-34 to -29 C),Moderate
foxglove ,Fast,Part sun/part shade,"Humus rich, Well-drained",Zone 4: (-34 to -29 C),Low
smooth crabgrass,Fast,,,Zone 4: (-34 to -29 C),NA
red bud hazel ,Moderate,"Full sun, Part sun/part shade, Sheltered","Acidic, Humus rich, Well-drained",Zone 7: (-18 to -12 C),Moderate
orchid cactus ,,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),"Low, Summer dry, Winter dry"
shooting star ,,"Full sun only if soil kept moist, Part sun/part shade",Humus rich,Zone 5: (-29 to -23 C),NA
leopard's bane ,Slow,Part sun/part shade,"Humus rich, Well-drained",Zone 4: (-34 to -29 C),Moderate
"ribbon plant, lucky bamboo ",,,Well-drained,Zone 10: (-1 to 4 C),"Low, Moderate"
"corn plant, cornstalk dracaena, striped dracaena",Slow,"Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),"Moderate, Winter dry"
"dragon tree, red margined dracaena",Slow,Sheltered,"Acidic, Well-drained",Zone 10: (-1 to 4 C),Moderate
pleomele ,,,,Zone 10: (-1 to 4 C),Moderate
gold-dust dracaena,Slow,Part sun/part shade,Well-drained,Zone 9: (-7 to -1 C),Moderate
shaggy shield fern ,Fast,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate
Jimmy's upright broad buckler fern ,Fast,"Deep shade, Filtered shade, Part sun/part shade",Acidic,Zone 4: (-34 to -29 C),Moderate
"copper shield fern, autumn fern ",Fast,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate
northwest wood fern ,,Filtered shade,,Zone 4: (-34 to -29 C),NA
crested male fern ,Fast,"Deep shade, Filtered shade, Part sun/part shade","Bog, Humus rich",Zone 2: (-46 to -40 C),Wetlands
Areca palm ,Fast,Part sun/part shade,Well-drained,Zone 10: (-1 to 4 C),Moderate
hens and chicks  ,,,Well-drained,Zone 9: (-7 to -1 C),Low
"coneflower, echinacea, purple coneflower ",Moderate,Full sun,Well-drained,Zone 3: (-40 to -34 C),Low
coneflower ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),"Low, Summer dry"
golden barrel cactus ,,,Well-drained,Zone 9: (-7 to -1 C),Low
barnyard grass ,Fast,Full sun,,Zone 6: (-23 to -18 C),Low
globe thistle ,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 2: (-46 to -40 C),"Low, Summer dry"
blueweed,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),Moderate
"water hyacinth , water orchid ",Fast,Full sun,Bog,Zone 8a: (-12 to -9.5 C),"Aquatic, Wetlands"
"elaeagnus, Ebbinge's silverberry ",Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 7: (-18 to -12 C),Low
Russian olive ,Fast,Full sun,,Zone 3: (-40 to -34 C),NA
"silverberry , wolf willow ",Moderate,Full sun,,Zone 2: (-46 to -40 C),NA
"thorny elaeagnus, silverthorn ",Fast,"Full sun, Part sun/part shade",,Zone 7: (-18 to -12 C),NA
fire leaf aralia ,,,,Zone 5: (-29 to -23 C),NA
"quackgrass , couchgrass ",Fast,,,Zone 3: (-40 to -34 C),NA
"crowberry , crawberry ",,"Filtered shade, Part sun/part shade",Acidic,Zone 2: (-46 to -40 C),Wetlands
enkianthus,Moderate,"Full sun, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate
"common willowherb, fringed willowherb ",Fast,Full sun,Well-drained,Zone 3: (-40 to -34 C),Low
Amber Queen barrenwort ,,"Filtered shade, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
barrenwort ,Moderate,"Filtered shade, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
